"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.863666666666667,0.134166526931209
"2","2","Overall","Rel",0.00339156831136023,0.0124354765869471
"3","2","Overall","Rec",0.00229487973358002,0.00795118030976568
"4","2","Overall","F_score",0.00259317815698191,0.00901198451720872
"5","2","Overall","BiS",0.513993605150426,0.0571675481201203
"6","2","Overall","Relations",1.66933333333333,0.595230185451366
"7","3","Overall","CSR",0.576511111111111,0.0831896753711265
"8","3","Overall","Rel",0.834650814087874,0.161688914151168
"9","3","Overall","Rec",0.292439160251513,0.114460492436807
"10","3","Overall","F_score",0.42825874037727,0.115596384591887
"11","3","Overall","BiS",0.438914343338209,0.0779504537181833
"12","3","Overall","Relations",0.962666666666667,0.61473212241538
"13","4","Overall","CSR",0.661442857142857,0.051325854026343
"14","4","Overall","Rel",0.819337280843071,0.0669928960636453
"15","4","Overall","Rec",0.356818363072239,0.0463197516413026
"16","4","Overall","F_score",0.489728252844102,0.0506032320773172
"17","4","Overall","BiS",0.407400634870612,0.0290656424676624
"18","4","Overall","Relations",1.45333333333333,0.700481124896636
"19","5","Overall","CSR",0.721707936507937,0.124691080257349
"20","5","Overall","Rel",0.489894448873786,0.200231513140428
"21","5","Overall","Rec",0.236362090136835,0.0948747018045668
"22","5","Overall","F_score",0.309380218823256,0.118692388076899
"23","5","Overall","BiS",0.247718326798378,0.0747386321599881
"24","5","Overall","Relations",0.36,0.570117064471975
