"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.770362554112554,0.114518521871202
"2","2","Overall","Rel",0.747597091839552,0.205261209348802
"3","2","Overall","Rec",0.584473206539067,0.11780630832334
"4","2","Overall","F_score",0.628928853765613,0.137140316915646
"5","2","Overall","BiS",0.428972772486721,0.0683505682405723
"6","3","Overall","CSR",0.919847222222222,0.0497345119115909
"7","3","Overall","Rel",0.982961161829802,0.0376746496636015
"8","3","Overall","Rec",0.837921591035417,0.0847294786068751
"9","3","Overall","F_score",0.891037638066846,0.0587109073260419
"10","3","Overall","BiS",0.467436980606434,0.00707296248880847
"11","4","Overall","CSR",0.814711226273726,0.134659127129024
"12","4","Overall","Rel",0.746603177839723,0.0966733512100248
"13","4","Overall","Rec",0.482824647788452,0.128103561173188
"14","4","Overall","F_score",0.565608711300316,0.104710631301305
"15","4","Overall","BiS",0.402501834673981,0.0229173304483763
"16","5","Overall","CSR",0.762240842490843,0.121667911945903
"17","5","Overall","Rel",0.570185467733372,0.125029524492762
"18","5","Overall","Rec",0.280698192793618,0.0624131781194367
"19","5","Overall","F_score",0.35994182338891,0.068642265104158
"20","5","Overall","BiS",0.277963422645278,0.0747384452342504
