"","Method","Choice","Measure","Mean","S.d."
"1","1","Overall","CSR",0.991111111111111,0.0207869854820775
"2","1","Overall","Rel",0.999912854030501,0.000435729847494537
"3","1","Overall","Rec",0.982135076252723,0.0415374204029142
"4","1","Overall","F_score",0.989246187363834,0.0249093457485789
"5","1","Overall","BiS",0.469915226952146,0.00456420834732998
"6","10","Overall","CSR",0.983888888888889,0.0314882890243185
"7","10","Overall","Rel",0.993711390084489,0.0212096718509734
"8","10","Overall","Rec",0.971847930283224,0.058713129078408
"9","10","Overall","F_score",0.980381880750944,0.0383497521651924
"10","10","Overall","BiS",0.468561724094779,0.00516186257408945
"11","20","Overall","CSR",0.986666666666667,0.0242161052418927
"12","20","Overall","Rel",0.99982905982906,0.000854700854700874
"13","20","Overall","Rec",0.973162393162393,0.0487491777750896
"14","20","Overall","F_score",0.98382905982906,0.0293805827495954
"15","20","Overall","BiS",0.469295350237095,0.00485084344043226
"16","30","Overall","CSR",0.991111111111111,0.0207869854820775
"17","30","Overall","Rel",0.995764705882353,0.0207271578769971
"18","30","Overall","Rec",0.977690631808279,0.0453185226325762
"19","30","Overall","F_score",0.984947462409372,0.0314029256457306
"20","30","Overall","BiS",0.465826137035379,0.00665438351372199
"21","40","Overall","CSR",0.981111111111111,0.0285989726138528
"22","40","Overall","Rel",0.993632004464548,0.0293531276318613
"23","40","Overall","Rec",0.963221667656962,0.0537955126265714
"24","40","Overall","F_score",0.974847974613256,0.0397170158366704
"25","40","Overall","BiS",0.467619227142335,0.0077344857229479
"26","50","Overall","CSR",0.993333333333333,0.0184256932797523
"27","50","Overall","Rel",0.99982905982906,0.000854700854700874
"28","50","Overall","Rec",0.986495726495726,0.0367968322933833
"29","50","Overall","F_score",0.99182905982906,0.0220628737835966
"30","50","Overall","BiS",0.470200002791005,0.00599115348897323
"31","60","Overall","CSR",0.986666666666667,0.0242161052418927
"32","60","Overall","Rel",0.999741913859561,0.000943047804515406
"33","60","Overall","Rec",0.973075247192894,0.0485015763735442
"34","60","Overall","F_score",0.983741913859561,0.029134764785955
"35","60","Overall","BiS",0.46769192948292,0.00492433156810595
"36","70","Overall","CSR",0.981111111111111,0.0285989726138528
"37","70","Overall","Rel",0.997084933306661,0.00914665552865837
"38","70","Overall","Rec",0.967034739552387,0.0501779646218763
"39","70","Overall","F_score",0.978936326657074,0.0300053698287492
"40","70","Overall","BiS",0.468110179033477,0.00498331959323514
"41","80","Overall","CSR",0.986666666666667,0.0242161052418927
"42","80","Overall","Rel",0.999825708061002,0.000603240658163962
"43","80","Overall","Rec",0.973159041394336,0.0483359082477764
"44","80","Overall","F_score",0.983825708061002,0.0289654727638991
"45","80","Overall","BiS",0.469942118608694,0.00496446515037448
"46","90","Overall","CSR",0.986666666666667,0.0290451613728855
"47","90","Overall","Rel",0.999912854030501,0.000435729847494537
"48","90","Overall","Rec",0.973246187363834,0.0580502714417243
"49","90","Overall","F_score",0.983912854030501,0.0348152238204043
"50","90","Overall","BiS",0.469142429511274,0.00697541590333543
"51","100","Overall","CSR",0.993333333333333,0.0184256932797523
"52","100","Overall","Rel",1,0
"53","100","Overall","Rec",0.986666666666667,0.0368513865595044
"54","100","Overall","F_score",0.992,0.0221108319357027
"55","100","Overall","BiS",0.468363144362585,0.00622024214459284
