"","Method","Choice","Measure","Mean","S.d."
"1",1,"Overall","CSR",0.829625,0.191777220593154
"2",1,"Overall","Rel",0.919548556832367,0.148302208349364
"3",1,"Overall","Rec",0.691885443308547,0.303772609247124
"4",1,"Overall","F_score",0.759114998773608,0.259567106877793
"5",1,"Overall","BiS",0.449954725349909,0.054875365701566
"6",1,"Overall","Relations",0.66,0.49938737979853
"7",2,"Overall","CSR",0.824125,0.18798316903268
"8",2,"Overall","Rel",0.888522926320341,0.170303517238575
"9",2,"Overall","Rec",0.670625243324238,0.305006292730756
"10",2,"Overall","F_score",0.733809189559423,0.266237904532555
"11",2,"Overall","BiS",0.447780667649268,0.0505895837234072
"12",2,"Overall","Relations",0.54,0.560975826173482
"13",3,"Overall","CSR",0.856666666666667,0.182177867783669
"14",3,"Overall","Rel",0.910871641493269,0.155267714437875
"15",3,"Overall","Rec",0.738383855077165,0.30455903753716
"16",3,"Overall","F_score",0.790115572191427,0.263064234909664
"17",3,"Overall","BiS",0.445445004217452,0.050899414411762
"18",3,"Overall","Relations",0.51,0.410201543296035
"19",4,"Overall","CSR",0.8345,0.180780071469072
"20",4,"Overall","Rel",0.919948320363852,0.135975124035863
"21",4,"Overall","Rec",0.692325709356669,0.301199914502639
"22",4,"Overall","F_score",0.758522042100748,0.254003788084368
"23",4,"Overall","BiS",0.45505056108659,0.040742574433065
"24",4,"Overall","Relations",0.55,0.591176619901673
"25",5,"Overall","CSR",0.84175,0.186662889447935
"26",5,"Overall","Rel",0.893264845623621,0.180455129762441
"27",5,"Overall","Rec",0.700331509557191,0.312617965930141
"28",5,"Overall","F_score",0.759066181387771,0.274184184613172
"29",5,"Overall","BiS",0.44833689603432,0.0557832121538065
"30",5,"Overall","Relations",0.42,0.395897327444315
"31",6,"Overall","CSR",0.862541666666667,0.18017361104283
"32",6,"Overall","Rel",0.892287328519923,0.184048503176374
"33",6,"Overall","Rec",0.731598241214746,0.313670158005662
"34",6,"Overall","F_score",0.780025990400581,0.276320403007528
"35",6,"Overall","BiS",0.452208853235012,0.0452571895890596
"36",6,"Overall","Relations",0.54,0.560975826173482
"37",7,"Overall","CSR",0.82925,0.203045983671829
"38",7,"Overall","Rel",0.87388303251119,0.21668516124513
"39",7,"Overall","Rec",0.685963851837403,0.325879414774714
"40",7,"Overall","F_score",0.743189764306385,0.29549240270619
"41",7,"Overall","BiS",0.439917047411955,0.0776832874649288
"42",7,"Overall","Relations",0.52,0.416006279387458
"43",8,"Overall","CSR",0.83125,0.194533153153227
"44",8,"Overall","Rel",0.880580349888339,0.194112903941797
"45",8,"Overall","Rec",0.680454589208481,0.312809768765317
"46",8,"Overall","F_score",0.740187577300323,0.278411008686547
"47",8,"Overall","BiS",0.446138621277947,0.0617753190913231
"48",8,"Overall","Relations",0.6,0.654653670707977
"49",9,"Overall","CSR",0.828666666666667,0.192479495035368
"50",9,"Overall","Rel",0.888784333759375,0.185798408671249
"51",9,"Overall","Rec",0.688860812880979,0.316931438379676
"52",9,"Overall","F_score",0.746968511879038,0.281844313349905
"53",9,"Overall","BiS",0.447346386157358,0.0609651038899309
"54",9,"Overall","Relations",0.57,0.606175700265061
"55",10,"Overall","CSR",0.805625,0.212971436670042
"56",10,"Overall","Rel",0.850712861575317,0.219254305273797
"57",10,"Overall","Rec",0.660036836964339,0.354113578379715
"58",10,"Overall","F_score",0.712608826247286,0.316100432196775
"59",10,"Overall","BiS",0.437282951042039,0.0693876536322467
"60",10,"Overall","Relations",0.67,0.619496174487044
"61",11,"Overall","CSR",0.8095,0.212102034979937
"62",11,"Overall","Rel",0.870323107088133,0.207111534560025
"63",11,"Overall","Rec",0.656512164539086,0.312709359538911
"64",11,"Overall","F_score",0.721869432681261,0.281755505172169
"65",11,"Overall","BiS",0.428148768686327,0.0829379840487807
"66",11,"Overall","Relations",0.49,0.566856710829328
