"","Method","Choice","Measure","Mean","S.d."
"1","0.01","Overall","CSR",0.890100649350649,0.0851568878143909
"2","0.01","Overall","Rel",0.7055368370996,0.103559382349963
"3","0.01","Overall","Rec",0.66132586741808,0.147055813416599
"4","0.01","Overall","F_score",0.673474970005255,0.119282249662203
"5","0.01","Overall","BiS",0.319684137508861,0.0281065461046106
"6","0.01","Overall","Restrictions",0,0
"7","2","Overall","CSR",0.785337662337662,0.19688492351617
"8","2","Overall","Rel",0.741175768465818,0.197359669099054
"9","2","Overall","Rec",0.445816349940526,0.158597255282932
"10","2","Overall","F_score",0.534125443086979,0.149847818527519
"11","2","Overall","BiS",0.388912644699328,0.092794731688166
"12","2","Overall","Restrictions",0,0
"13","6","Overall","CSR",0.758837662337662,0.217114143880686
"14","6","Overall","Rel",0.76723977623436,0.209891764789465
"15","6","Overall","Rec",0.426515504659702,0.158171376349292
"16","6","Overall","F_score",0.528173786991742,0.16002072802163
"17","6","Overall","BiS",0.399992036031828,0.099069841068626
"18","6","Overall","Restrictions",0,0
"19","10","Overall","CSR",0.811284465534465,0.142228190931635
"20","10","Overall","Rel",0.817838798023734,0.129296296371216
"21","10","Overall","Rec",0.48049124752841,0.112683224398595
"22","10","Overall","F_score",0.589121353823867,0.0882206754025171
"23","10","Overall","BiS",0.426406781757547,0.0413909122708224
"24","10","Overall","Restrictions",0,0
"25","14","Overall","CSR",0.78786038961039,0.150821266111508
"26","14","Overall","Rel",0.845118509130605,0.149359445288302
"27","14","Overall","Rec",0.471605179923632,0.089124004976891
"28","14","Overall","F_score",0.594403836201952,0.0877019611186898
"29","14","Overall","BiS",0.431118566154286,0.0585326250783106
"30","14","Overall","Restrictions",0,0
"31","18","Overall","CSR",0.772548701298701,0.144499879769405
"32","18","Overall","Rel",0.841199119823726,0.146329152302781
"33","18","Overall","Rec",0.464887691270355,0.0979417377942209
"34","18","Overall","F_score",0.583149232051981,0.0864688635989841
"35","18","Overall","BiS",0.431221192696849,0.0528162249422067
"36","18","Overall","Restrictions",0,0
"37","22","Overall","CSR",0.784756493506493,0.159083685374222
"38","22","Overall","Rel",0.797000823878174,0.143355142092979
"39","22","Overall","Rec",0.45355438878496,0.105078594129911
"40","22","Overall","F_score",0.56326037957961,0.0973581007431757
"41","22","Overall","BiS",0.419178741708176,0.0601522870395632
"42","22","Overall","Restrictions",0,0
"43","26","Overall","CSR",0.791146103896104,0.15518568793659
"44","26","Overall","Rel",0.804340810307178,0.134255940229481
"45","26","Overall","Rec",0.458172084732711,0.102741018171084
"46","26","Overall","F_score",0.571516032352415,0.0961297868932189
"47","26","Overall","BiS",0.41996474751244,0.058977132389398
"48","26","Overall","Restrictions",0,0
"49","30","Overall","CSR",0.757828921078921,0.153146395493682
"50","30","Overall","Rel",0.774356662461799,0.120640203163847
"51","30","Overall","Rec",0.439926380804047,0.122110757362688
"52","30","Overall","F_score",0.546080391367367,0.106053814226788
"53","30","Overall","BiS",0.41632106289201,0.0540963998545869
"54","30","Overall","Restrictions",0,0
"55","60","Overall","CSR",0.731396103896104,0.123375315601199
