"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.940477777777778,0.104788557708204
"2","2","Overall","Rel",0.897230757541865,0.245660397113945
"3","2","Overall","Rec",0.854375004976887,0.276525047999761
"4","2","Overall","F_score",0.869485519132298,0.260666938014319
"5","2","Overall","BiS",0.457202828795441,0.0245656619545119
"6","2","Overall","Relations",0.332,0.47187568984497
"7","3","Overall","CSR",0.954988888888889,0.0745502729371412
"8","3","Overall","Rel",0.952063129752988,0.162241796074124
"9","3","Overall","Rec",0.889011728613518,0.201512601669288
"10","3","Overall","F_score",0.912776854620457,0.181519774380226
"11","3","Overall","BiS",0.460232166449913,0.023905993649411
"12","3","Overall","Relations",0.348,0.348718569602142
"13","4","Overall","CSR",0.964819444444444,0.0538254870943821
"14","4","Overall","Rel",0.977216356711351,0.0986885098520039
"15","4","Overall","Rec",0.921656397511429,0.133680554163624
"16","4","Overall","F_score",0.943109873845841,0.115059345727996
"17","4","Overall","BiS",0.463833049910199,0.0164683777522448
"18","4","Overall","Relations",0.489333333333333,0.362353849656042
