"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.940594444444444,0.115902653503903
"2","2","Overall","Rel",0.842253296970352,0.30031608172021
"3","2","Overall","Rec",0.8254445980967,0.335052305273767
"4","2","Overall","F_score",0.831786110196926,0.321351275049252
"5","2","Overall","BiS",0.451020202069472,0.0213374264143615
"6","2","Overall","Relations",0.24,0.427939867411862
"7","3","Overall","CSR",0.969211111111111,0.0766608048318786
"8","3","Overall","Rel",0.923289117759124,0.201336718820745
"9","3","Overall","Rec",0.906193660488371,0.236154465815075
"10","3","Overall","F_score",0.91283789940054,0.221747548518991
"11","3","Overall","BiS",0.454472271790756,0.0273758933933371
"12","3","Overall","Relations",0.336,0.333991318454856
"13","4","Overall","CSR",0.983941666666667,0.0539195533295517
"14","4","Overall","Rel",0.969427224424528,0.12653649658188
"15","4","Overall","Rec",0.95487895044065,0.1547683053522
"16","4","Overall","F_score",0.960462269834812,0.143556559622799
"17","4","Overall","BiS",0.459072187675909,0.0234427770912436
"18","4","Overall","Relations",0.534,0.358270051384253
