"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.859907467532467,0.102493936849744
"2","2","Overall","Rel",0.714833577784312,0.141698817148862
"3","2","Overall","Rec",0.563101663515073,0.145426640989406
"4","2","Overall","F_score",0.607316567927548,0.115172439740778
"5","2","Overall","BiS",0.420501738486788,0.0244447854557049
"6","2","Overall","Relations",0.14,0.348735088019777
"7","3","Overall","CSR",0.895204378954379,0.0715574804483147
"8","3","Overall","Rel",0.691892938468028,0.134219478732394
"9","3","Overall","Rec",0.61048181795013,0.118496655536118
"10","3","Overall","F_score",0.636264208970878,0.118962796801231
"11","3","Overall","BiS",0.414694734859772,0.0182502831336652
"12","3","Overall","Relations",0.0866666666666667,0.187247772737252
"13","4","Overall","CSR",0.913701673326673,0.0603220028073486
"14","4","Overall","Rel",0.64668535690242,0.139735566803552
"15","4","Overall","Rec",0.600650221023841,0.13567287905489
"16","4","Overall","F_score",0.614629793656082,0.13349221057425
"17","4","Overall","BiS",0.404787246980378,0.0161137668339412
"18","4","Overall","Relations",0.0849999999999999,0.143107644728708
