AD043,AD111,AD114,AD115,AD118,AD119,AD120,AD122,AD123,AD127,AD130,AD131,AD136,AD157,AD158,AD159,AD162,AD163,AD164,AD167,AD169,AD170,AD172,AD173,AD177,AD178,AD179,AD183,AD185,AD186,AD187,AD188,AD201,AD202,AD203,AD207,AD208,AD210,AD212,AD213,AD218,AD221,AD224,AD225,AD226,AD228,AD230,AD232,AD234,AD236,AD238,AD239,AD240,AD241,AD243,AD247,AD249,AD250,AD252,AD253,AD255,AD258,AD259,AD260,AD261,AD262,AD266,AD267,AD268,AD269,AD275,AD276,AD277,AD283,AD285,AD287,AD294,AD295,AD296,AD299,AD301,AD302,AD304,AD305,AD308,AD309,AD311,AD313,AD314,AD315,AD317,AD318,AD320,AD323,AD327,AD330,AD331,AD332,AD334,AD335,AD336,AD337,AD338,AD340,AD341,AD346,AD347,AD350,AD351,AD352,AD353,AD355,AD356,AD360,AD361,AD362,AD363,AD366,AD367,AD368,AD370,AD374,AD375,AD379,AD382,AD383,AD384,AD10T1,AD15T1,AD16T2,AD18T1,AD19T1,AD1T1,AD2T1,AD31,AD3T1,AD4T1,AD5T1,AD7T1,NL1179,NL1675,NL1698,NL1884,NL2378,NL2562,NL268,NL279,NL3104,NL3681,NL4083,NL4353,NL504,NL6084,NL6853,NL6943,NL7530
193.19,369.52,169.81,305.46,413.63,195.14,507.755,296.14,455.065,615.85,248.74,414.35,993,327.36,141.735,383.87,568.78,253.305,579.895,174.56,534.52,297.947,281.54,319.61,537.94,133.015,138.555,226.37,161.32,445.7,635.52,100.51,200.89,249.6,161.695,185.49,253.87,275.71,693.29,317.99,285.19,194.48,193.12,357.22,193.22,355.175,193.95,214.94,193.49,212.09,317.07,159.53,387.46,221.81,244.88,600.53,360.45,243.97,533.02,758.11,548.41,411.127,605.97,390.58,381.37,300.885,271.15,394.92,171.177,361.97,374.63,206.855,374.21,611.48,295.26,690.64,528.835,197.95,175.81,530.98,284.06,380.61,246.88,506.52,549.59,174.33,261.235,382.51,301.37,384.25,168.93,116.56,205.96,237.4,156.57,406.34,170.15,216.54,270.23,673.77,915.54,860.68,196.67,294.055,282.615,192.575,156.865,274.295,199.76,393.85,144.7,207.94,265.48,570.27,406.65,64.6,164.5,130.18,136.12,265.78,160.33,519.39,201.435,301.535,319.935,371.785,264.655,234.93,284.15,570.8,839.49,565.63,510.07,226.55,189.95,385.74,328.21,206.77,264.56,279.51,184.82,326.05,231.21,436.33,230.64,258.09,362.77,188.7,156.09,250.08,160.1,212.84,246.74,161.45,154.51,198.65
2565.55,2362.42,1861.83,2340.89,2317.04,1775.37,2052.36,2467.85,2995.28,2074.51,1510.54,2252.32,3173.47,2289.56,1452.01,2555.92,1410.06,2306.36,3335.95,1827.09,3561.02,2682.48,1456.73,2633.52,3577.87,2108.04,2149.8,2762.54,2113.71,3926.39,4145.54,1598.05,3974.48,1808.17,2939.1,3062.47,2511.79,2616.3,2716.96,1919.47,3539.22,2896.33,3097.1,3338.62,1328.94,2499.2,4015.97,1116.51,2626.42,2521.72,3075.96,1933.84,1355.86,2374.91,1315.43,1871.12,2576.15,2007.42,2145.1,3628.35,1633.61,5262.77,1846.89,1641.17,1203.39,1838.08,1618.84,2682.92,2674.22,1814.04,4598.81,2065.48,3571.21,2812.03,2443.25,3727.55,2443.52,2265.41,2347.69,2722.98,3315.22,3570.88,3832.71,1558.59,1684.51,1171.67,1323.49,3344.78,3124.33,2786.94,2211.21,2613.51,3563.79,1719.31,2397.81,3603.16,2080.53,2081.06,2901.38,2257.94,2061.71,3222.81,1772.57,2574.5,3949.7,1681.38,1212.11,1624.95,2628.53,3504.54,1589.4,3503.92,976.43,2713.26,1463.02,1667.16,1799.73,1852.38,2599.78,2796.01,1285.05,4717.77,2747.79,2427.93,2152.7,4315.58,2454.5,4093.43,1787.1,2515.54,2056.06,784.9,2290.81,2426.82,2716.07,2081.84,2211.23,1714.92,2055.63,1311.82,1154.5,889.8,1345.54,1301,1140.04,2399.68,1804.46,774.95,1185.67,1161.04,921.3,2462.27,916.89,930.33,1559.22,1111.39
3361.85,3262.46,2967.65,3473.33,3340.84,2536.74,3186.56,3753.37,4116.59,3085.19,2063.8,3186.36,3781.95,3114.58,2707.16,3462.62,2131.15,3675.65,3621.16,2705,4232.78,3708.11,2631.12,3418.42,4480.68,3206.68,3360.93,3724.88,2932.07,4020.27,4766.39,1889.08,4587.66,3424.25,3667.68,4557.1,3529.24,4122.86,3626.87,3121.42,4632.9,3892.61,3939.6,4752.02,2158.86,3099.36,5031.11,2022.25,3563.49,3562.81,3991.99,2753.26,2490.29,3942.92,2045.35,3051.06,3576.43,2202.93,3406.15,3962.89,1973.98,5436.39,2794.51,2151.93,1709.55,2717.73,2779.81,2856.63,3356.89,2265.29,4826.94,2890.33,4479,3612.3,3498.76,4646.99,3647.22,2648.78,3276.84,3296.12,3765.77,3600.53,4129.73,2794.09,2168.37,1866.42,3245.35,3769.72,3345.94,4269.28,3499.15,2790.62,3922.01,3113.56,3778.93,4227.5,3062.27,3454.02,4342.09,3411.01,2680.62,3526.62,2751.83,3586.45,4042.65,2890.72,2159.56,2702.05,3773.83,4891.92,2235.09,4073.4,1381.41,3439.55,2555.42,2585.63,2947.38,2705.49,3663.65,3143.27,2305,5060.96,4185.42,3987.19,2529.51,4508.34,2881.02,4595.76,2699.25,2425.42,2894.02,1066.63,2470.3,2524.25,3831.24,3426.88,3005.08,2006.17,2938.47,2037.89,2564.64,1307.51,2362.54,2407.97,1540.05,3080.04,2578.14,1522.94,2286.45,2160.54,1818.58,3219.49,2440.02,1609.02,2361.19,2050.42
3810.86,2616.13,2563.59,2876.46,3354.31,3449.94,3344,3299.65,3066.46,2725.63,3737.3,3332.14,3924.55,2630.03,3764.56,3226.66,2894.11,2894.26,3213.31,3549.39,2452.09,3296.79,3773.05,3645.52,2736.44,1994.78,3641.88,3529.39,3034.22,3341.27,3380.27,4205.31,2761.95,2581.55,2640.81,2369.05,3167.82,3434.3,3427.91,4136.78,3139.51,3634.61,2734.98,3186.69,3469.52,3595.09,4450.9,3268.92,3328.78,2907.4,2891.73,3709.8,3149.56,2917.02,2911.54,3717.1,2789.43,3588.94,3381.58,2664.78,3496.9,3183.41,2838.24,3839.35,2785.85,3540.09,3340.41,3621.09,3042.91,3366.2,2687.38,2594.04,3020.76,2897.94,4012.44,2974.47,3265.18,3686.01,2696.25,3714.1,3490.99,3146.53,3387.04,2983.07,3550.35,4347.48,3417.34,3988.96,3794.64,3899,3626.68,3158.76,4488.88,3055.69,3402.7,4189.05,3098.61,2711.99,3858.4,2974.2,3994.29,3173.55,2286.32,3566.24,3406.17,3210.16,3012.51,3988.32,2965.84,3002.82,3914.85,3234.1,3024.52,3370.29,3569.98,3180.67,3315.89,3150.39,3288.61,3256.02,3193.64,3565.85,2478.53,3845.02,4911.34,4166.17,3864.26,3688.64,3923.34,3862.58,3284.43,3721.85,2950.74,3507.85,3789.44,3556.99,3250.25,3515.16,3362.95,3355.17,2998.48,2733.46,3069.92,3122.12,3024.03,3003.89,3123.36,3171.78,3070.95,3079.19,3013.06,3298.57,3233.64,2938.96,2858.82,3844.74
2975.29,28.23,41.46,2201.87,4.09,87.57,601.745,1885.56,15.745,123.5,15.42,232.61,55.7,0,52.115,2265.65,125.86,136.575,0,0,796.76,0,287.38,46.88,21.34,2.42,74.085,393.39,1642.33,4.68,49.975,39.73,297.56,721.41,1731.21,28.86,2366.34,113.23,0,16.72,12.96,492.19,46.34,72.47,216.17,14.22,36.64,9.96,17.59,0,9.36,686.34,111.04,602.72,185.87,103.42,680.46,1047.62,2853.24,334.64,183.38,371.355,67.73,41.5,190.35,324.085,284.12,72.29,3.85333,47.56,65.88,17.99,35.09,27.86,530.96,1.98,30.765,227.62,78.32,2.055,1416.64,903.85,0,741.79,62.82,49.88,264.36,9.15,1524.83,104.45,16.19,497.88,1642.52,57.15,9.71,801.9,438.68,577.85,4428.1,46.895,35.59,2.95,1474.73,3031.69,242.535,190.16,55.005,737.045,2667.9,64.77,40.54,1080.23,134.08,5.115,235.09,1974.65,101.85,1217.1,348.32,5.23,911.79,21.18,2265.29,54.67,979.57,14.61,1330.76,80.17,1895.75,0,2624.22,9.97,129.41,1444.18,452.15,3413.47,2.4,768.97,2731.67,27.77,66.3,182.38,24.83,15.69,53.59,24.54,40.6,47.05,43.66,90.05,111.34,2.45,119.21,64.48,1,21.34
1158.14,861.7,1003.13,1006.68,1380.59,895.14,2321.04,1279.48,1651.82,744.57,674.74,1028.29,1573.46,1364.59,1486.03,635.62,1388.7,407.23,2049.59,764.58,1908.18,698.647,1063.57,766.99,1174.75,746.19,1234.16,1205.9,1076.64,973.55,914.7,570.51,987.31,924.82,700.53,1064.74,1129.07,1100.97,1938.33,719.46,582.89,1266.02,1314.91,973.03,736.7,1125.11,548.24,462.24,1154.57,1568.04,1221.35,1346.74,832.5,1317.88,856.005,2079.41,1681.13,1168.19,1839.26,1293.87,1539.12,1723.38,1239.97,1797.36,1473.05,1107.43,930.78,957.91,691.477,1171.43,2685.71,1134.34,1489.25,1701.23,1309.41,2500.09,1334.48,1855.16,1234.9,894.875,782.16,1060.41,1759.96,991.79,1901.56,544.87,1210.98,1567.26,1571.5,1016.79,600.64,919.88,1091.05,1480.38,1515.45,1283.47,1298.73,918.66,1035.57,1350.23,1214.18,2099.38,384.68,1252.84,1286.23,793.295,1478.71,1153.87,1085.39,1966.74,357.01,1140.57,730.98,1672.42,1137.91,1273.7,1028.81,1448.28,1042.9,1395.94,1262.97,1768.19,1149.55,1507.69,887.535,2111.64,1312.48,1509.39,1373.08,1211.45,1453.37,1380.42,660.93,784.83,1540.6,1359.1,1498.02,815.89,1108.92,1039.84,1226.05,1061.63,1098.45,1060.78,900.51,1145.21,1106.63,981.68,980.81,1039.67,1038.11,1038.84,1040.33,1042.02,1072.04,1205.34
3624.85,2553.35,2186.26,2120.11,2648.59,2210.02,2340.23,1681.43,1904.84,1853.37,4855.56,2780,2349.76,4078.35,3153.29,3218.66,3093.17,3382.56,3470.3,3384.26,2142.52,3311.65,2947.48,3320.74,2207.99,2225.41,3666.89,3664.31,3160.25,3154.07,1822.89,3600.37,1892.58,4067.49,3948.77,3398.95,1914.59,3413.45,2419.81,2931.75,2565.96,2545.1,2565.27,2509.22,2505.21,2097.57,3528.47,2332.95,2391.05,3874.41,2382.04,2298.45,2332.56,3391.74,2035.62,2141.55,3035.6,2187.66,2224.86,2434.26,2303.49,2505.87,1618.85,1858.85,1743.79,2118.37,1919.3,2641.86,4275.2,1798.91,2182.7,2403.4,3351.42,2589.58,2531.45,2511.73,2335.85,3052.95,2809.51,3306.17,2845.42,2252.22,2754.66,2195.95,2733.74,1969.06,2452.09,4851.5,2238.88,3098.21,2457.32,2447.85,2049.33,3085.57,2291.8,1993.94,2833.05,3001.28,1880.54,2475.98,2899.07,2808.84,2780.1,3029.53,3193.9,2331.43,2798.85,2132.12,3430.79,3028.11,3322.83,2119.39,2234.84,1879.56,3722.48,2785,2531.08,2539.64,3109.35,1512.8,2444.91,2271.01,2305.26,4047.95,3624.21,2788.23,3415.18,2841.59,1543.7,3388.42,1905.76,1940.39,2100.34,3147.94,2173.05,2352.96,3098.86,3790.21,3124.67,2221.33,2037.7,1903.16,2031.43,2194.55,2460.69,2737.4,1945.84,1944.38,2300.34,1957.67,2042.6,2479.05,1985.43,2282.87,2167.59,1943.89
867.6,440.19,435.66,470.53,750.58,518.11,742.41,729.27,692.815,710.68,552.09,481.335,514.68,763.33,447.75,388.1,772.8,820.59,416.085,673.42,1485.66,767.39,804.17,537.24,529.52,781.6,393.77,306.64,344.84,877.63,921.305,743.84,320.51,1060.85,1808.16,944.3,728.8,673.44,631.72,678.03,456.2,598.52,235.9,452.79,733.75,973.145,550.2,588.61,532.38,556.78,815.96,700.56,1122.79,428.07,943.81,559.77,390.52,464.99,595.2,427.69,686.803,606.492,674.89,830.295,1017.23,1232.73,582.67,661.22,597.713,943.07,647.56,545.79,376.56,430.8,530.96,221.15,933.225,279.54,421.1,607.18,485.175,780.125,1191.61,849.19,649.67,340.06,428.765,869.6,554.93,348.06,421.75,572.42,460.58,689.96,701,607.36,348.48,592.97,761.405,151.095,361.51,638.69,593.625,635.995,223.225,755.405,759.23,476.47,292.46,418.71,724.33,598.7,1051.24,368.29,670.51,572.36,665.94,673.71,518.16,235.26,765.04,202.82,276.095,455.085,343.02,262.52,349.06,454.39,713.3,857.95,640.08,760.91,705.78,313.17,746.15,303.15,649.86,1364.69,914.87,1101.82,602.22,1381.16,917.95,1177.75,1271.63,564.19,840.23,923.33,1441.72,1009.91,1534.17,493.96,1883.73,1607.4,646.03,966.36
15.4,62.21,17.39,543.77,46.62,74.7,46.125,212.76,42.43,184.65,0,15.13,23.63,19.89,8.235,15.3,132.48,6.255,0,0,0,4.86333,12.045,32.99,69,0.16,35.12,0,25.81,7.9,94.62,111.79,0,155.04,50.59,30.86,39.45,60.5,13.47,15.78,18.63,34.09,19.42,0,38.61,310.63,15.31,35.34,387,5.21,57.76,16.98,20.45,63.93,45.765,143.79,13.72,26.61,507.12,46.11,2.95667,21.5875,0,0,0,16.775,33.22,11.83,8.27333,92.9,11.49,445.38,42.19,56.74,22.27,105.28,15.455,0,24.13,7.065,40.875,0,20.4,20.77,0,4.06,43.3,14.02,23.27,53.58,31.99,33.78,20.05,604.82,22.2,32.96,0,14.05,30.35,17.52,0,688.79,51.335,77.085,9.2,130.83,42.12,31.705,41.55,69.15,27.84,0,0,11.7,19.03,10.56,0,48.41,90.36,8.8,19.21,0,32.395,79.345,33.71,46.82,54,2.84,0.1,0,674.83,0,105.08,28.8,0,0,0,31.93,0,0,3.57,44.25,0,148.34,0,1.49,5.48,0.59,0,0,0,0,6.92,0,0,12.9
3828.42,3341.44,3021.26,3004.02,3190.31,2643.5,2897.51,2199.96,2380.76,2572.6,3273.51,4232.31,2076.16,3989.72,3868.32,2236.81,2837.38,3106.57,2901.37,3847.54,2906.57,3085.2,3563.13,2902.29,2833.56,2804.23,4440.06,3184.56,3004.84,3763.74,2131.67,4229.55,2609.36,3256.99,2452.94,2110.7,1770.59,3807.66,3639.92,4111.98,2731.42,3554.86,3763.62,2937.06,3553.9,4357.26,3547.51,3151.95,2328.73,3846.31,2867.22,3860.7,3319.24,2816.97,2994.01,3203.73,4016.46,2963.4,2966.97,2180.96,4138.29,3349.1,2092.59,2763.36,1943.32,3086.41,2558.37,3247.93,3101.13,2754.46,2681.52,1721.36,3543.97,2817.82,4326.39,3380.11,3073.66,3598.72,3378.97,2965.99,2920.29,3044.17,3432,2669.36,3590.73,2869.13,2180.04,3278.49,3948.91,4405.06,3115.61,3605.58,2573.06,2813.16,2526.62,3280.58,3063.04,2247.68,2021.11,3396.06,3064.14,3206.35,3235.89,3535.35,2027.91,2765.68,2811.83,2424.95,2980.2,4275.21,3664.71,2328.48,2697.56,2526.54,3616.95,3451.26,2843.31,3839.82,3590.55,3386.03,3083.26,3003.43,2323.67,3775.91,4677.25,3102.5,4402.55,2151.41,2684.39,3458.32,2252.79,2622.93,2155.52,3548.79,2958.25,2348.74,3059.09,3662.85,3169.92,2113.08,2084.85,1721.55,2379.48,2445.55,2294.69,2677.59,2344.71,1950.2,2420.84,2034.88,2061.94,2272.81,2132.18,2447.71,2057.85,2924.73
