"","Method","Biclusters","Choice","Measure","Mean","S.d."
"1","ResNMTF","2","Overall","CSR",0.881944444444444,0.0570544330734548
"2","ResNMTF","2","Overall","Rel",0.759013463727877,0.121460838447579
"3","ResNMTF","2","Overall","Rec",0.665416666666667,0.110185292172373
"4","ResNMTF","2","Overall","F_score",0.684910036282384,0.0734300317846599
"5","ResNMTF","2","Overall","BiS",0.460659139421559,0.010059008510077
"6","ResNMTF","3","Overall","CSR",0.986111111111111,0.0208333333333334
"7","ResNMTF","3","Overall","Rel",0.985715467256862,0.0236800726069961
"8","ResNMTF","3","Overall","Rec",0.954820405528467,0.047891885068132
"9","ResNMTF","3","Overall","F_score",0.967382552894535,0.0346755039209855
"10","ResNMTF","3","Overall","BiS",0.466999521440475,0.00719799277629773
"11","ResNMTF","4","Overall","CSR",0.875892857142857,0.0810818019637816
"12","ResNMTF","4","Overall","Rel",0.867970950261778,0.0925074689183339
"13","ResNMTF","4","Overall","Rec",0.628914260513911,0.0675662193569773
"14","ResNMTF","4","Overall","F_score",0.716371308262087,0.0474673404094033
"15","ResNMTF","4","Overall","BiS",0.33699741497121,0.0879373816050989
"16","ResNMTF","5","Overall","CSR",0.779387125220459,0.113836646424969
"17","ResNMTF","5","Overall","Rel",0.638425003011903,0.191667105627358
"18","ResNMTF","5","Overall","Rec",0.332023412420659,0.0638776715740418
"19","ResNMTF","5","Overall","F_score",0.421427916282521,0.0879016501857329
"20","ResNMTF","5","Overall","BiS",0.228285242028989,0.157194922273953
"21","GFA","2","Overall","CSR",0.278912490922295,0.00107648340828166
"22","GFA","2","Overall","Rel",0.200505072238796,0.0161461317212691
"23","GFA","2","Overall","Rec",0.372838884625344,0.103796835901614
"24","GFA","2","Overall","F_score",0.254768533720918,0.0350573606560401
"25","GFA","2","Overall","BiS",-0.22971337946893,0.0101814617968048
"26","GFA","3","Overall","CSR",0.368421052631579,0
"27","GFA","3","Overall","Rel",0.136320222871714,0.00279764171924597
"28","GFA","3","Overall","Rec",0.250998823552795,0.0247265354444355
"29","GFA","3","Overall","F_score",0.176298668081378,0.00841432316445166
"30","GFA","3","Overall","BiS",-0.189325856887314,0.0259440940082776
"31","GFA","4","Overall","CSR",0.45,0
"32","GFA","4","Overall","Rel",0.130587122506713,0.00843546301001762
"33","GFA","4","Overall","Rec",0.213058986378063,0.0263564502340474
"34","GFA","4","Overall","F_score",0.16152117305215,0.012843206596386
"35","GFA","4","Overall","BiS",-0.169348458422988,0.0152810662789302
"36","GFA","5","Overall","CSR",0.523809523809524,0
"37","GFA","5","Overall","Rel",0.113278433749199,0.0159444527315932
"38","GFA","5","Overall","Rec",0.173105340013728,0.0279395190659137
"39","GFA","5","Overall","F_score",0.136779779962035,0.0200306872625618
"40","GFA","5","Overall","BiS",-0.147751097925316,0.0160900196176657
"41","iSSVD","2","Overall","CSR",0.333333333333333,0
"42","iSSVD","2","Overall","Rel",0,0
"43","iSSVD","2","Overall","Rec",0,0
"44","iSSVD","2","Overall","F_score",0,0
"45","iSSVD","2","Overall","BiS",0,0
"46","iSSVD","3","Overall","CSR",0.327777777777778,0.154335493145434
"47","iSSVD","3","Overall","Rel",0.0684296296296296,0.135911078409995
"48","iSSVD","3","Overall","Rec",0.0228098765432099,0.0453036928033318
"49","iSSVD","3","Overall","F_score",0.0342148148148148,0.0679555392049977
"50","iSSVD","3","Overall","BiS",0.0964012387926842,0.19129431596086
"51","iSSVD","4","Overall","CSR",0.2,0
"52","iSSVD","4","Overall","Rel",0,0
"53","iSSVD","4","Overall","Rec",0,0
"54","iSSVD","4","Overall","F_score",0,0
"55","iSSVD","4","Overall","BiS",0,0
"56","iSSVD","5","Overall","CSR",0.683597883597884,0.316828736821151
"57","iSSVD","5","Overall","Rel",0.343507269128111,0.204631478183313
"58","iSSVD","5","Overall","Rec",0.192691097418755,0.159772280737381
"59","iSSVD","5","Overall","F_score",0.221994074827071,0.156056733763766
"60","iSSVD","5","Overall","BiS",0.116827545449791,0.284730673967186
