"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.55,0.178372905521092
"2","2","Overall","Rel",0.00153298092392554,0.0108398120673737
"3","2","Overall","Rec",0.000766490461962767,0.00541990603368682
"4","2","Overall","F_score",0.00102198728261702,0.0072265413782491
"5","2","Overall","BiS",0.280033431807661,0.230302497584992
"6","3","Overall","CSR",0.504333333333333,0.114114951790825
"7","3","Overall","Rel",0.67528233838682,0.30943334224728
"8","3","Overall","Rec",0.238330663826275,0.110535006128058
"9","3","Overall","F_score",0.349554065121012,0.157983760907983
"10","3","Overall","BiS",0.339391681350726,0.15545820080347
"11","4","Overall","CSR",0.341,0.0636396103067893
"12","4","Overall","Rel",0.450839826839827,0.206473588742097
"13","4","Overall","Rec",0.112709956709957,0.0516183971855241
"14","4","Overall","F_score",0.180335930735931,0.0825894354968386
"15","4","Overall","BiS",0.223748538340119,0.0961369439741567
"16","5","Overall","CSR",0.219702380952381,0.0955936821764561
"17","5","Overall","Rel",0.130813191860266,0.241678223088912
"18","5","Overall","Rec",0.0282687971876269,0.0524596103167339
"19","5","Overall","F_score",0.0461117292100573,0.0849498983500486
"20","5","Overall","BiS",0.0745069679703923,0.121444722849021
