"","Method","Choice","Measure","Mean","S.d."
"1","50","Overall","CSR",0.252333333333333,0.0164991582276861
"2","50","Overall","Rel",0.00666666666666667,0.0471404520791032
"3","50","Overall","Rec",0.00222222222222222,0.0157134840263677
"4","50","Overall","F_score",0.00333333333333333,0.0235702260395516
"5","50","Overall","BiS",0.00356872654609175,0.0252347074094192
"6","200","Overall","CSR",0.485666666666667,0.0985731538841416
"7","200","Overall","Rel",0.621363334774879,0.258660412580925
"8","200","Overall","Rec",0.207121111591626,0.086220137526975
"9","200","Overall","F_score",0.31068166738744,0.129330206290463
"10","200","Overall","BiS",0.326327198104221,0.136681987842044
"11","300","Overall","CSR",0.481,0.0927661336671716
"12","300","Overall","Rel",0.621299436556232,0.236139396937424
"13","300","Overall","Rec",0.20709981218541,0.0787131323124748
"14","300","Overall","F_score",0.310649718278116,0.118069698468712
"15","300","Overall","BiS",0.316292073160626,0.127156714770097
"16","500","Overall","CSR",0.476333333333333,0.089473770209797
"17","500","Overall","Rel",0.610429987303294,0.23739915040429
"18","500","Overall","Rec",0.203476662434431,0.0791330501347632
"19","500","Overall","F_score",0.305214993651647,0.118699575202145
"20","500","Overall","BiS",0.309141422720348,0.123088689725315
"21","1000","Overall","CSR",0.474,0.0876863095864394
"22","1000","Overall","Rel",0.618632840601133,0.239579542285162
"23","1000","Overall","Rec",0.206210946867044,0.0798598474283872
"24","1000","Overall","F_score",0.309316420300567,0.119789771142581
"25","1000","Overall","BiS",0.304804161491278,0.119578156113826
