"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.468166666666667,0.137845525458351
"2","2","Overall","Rel",0.585262626262626,0.344459025470445
"3","2","Overall","Rec",0.201337542087542,0.128973992280044
"4","2","Overall","F_score",0.298256313131313,0.182391904828823
"5","2","Overall","BiS",0.295462457949212,0.178919182647997
"6","3","Overall","CSR",0.451777777777778,0.105740022607111
"7","3","Overall","Rel",0.528807297570768,0.281898332405514
"8","3","Overall","Rec",0.184790838320691,0.0994570762240801
"9","3","Overall","F_score",0.271406547336109,0.143034719562876
"10","3","Overall","BiS",0.270338194037296,0.143721123766809
"11","4","Overall","CSR",0.408916666666667,0.0971424559398811
"12","4","Overall","Rel",0.412476483685523,0.242868376247693
"13","4","Overall","Rec",0.142308780814195,0.0875984643407625
"14","4","Overall","F_score",0.210098623198694,0.125542015957858
"15","4","Overall","BiS",0.215279981569805,0.130368931476581
