"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.368857142857143,0.137014334821904
"2","2","Overall","Rel",0.24264589373524,0.314209570805218
"3","2","Overall","Rec",0.0694365463685306,0.0958533932422251
"4","2","Overall","F_score",0.106449378750878,0.142979899943563
"5","2","Overall","BiS",0.233123977129605,0.171209528178913
"6","3","Overall","CSR",0.410357142857143,0.141717851367021
"7","3","Overall","Rel",0.275023877357231,0.248468304474689
"8","3","Overall","Rec",0.109250723637816,0.115484478741865
"9","3","Overall","F_score",0.149825629210539,0.147568236383593
"10","3","Overall","BiS",0.235913154185468,0.137626049384456
"11","4","Overall","CSR",0.396857142857143,0.13429302210126
"12","4","Overall","Rel",0.201273980974071,0.192127483610475
"13","4","Overall","Rec",0.0844994118077211,0.0846982384331034
"14","4","Overall","F_score",0.114001663664809,0.109006567588852
"15","4","Overall","BiS",0.206421487961154,0.111866006342813
