"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.941180555555556,0.0753515086904259
"2","2","Overall","Rel",0.957035509884216,0.0894596678650838
"3","2","Overall","Rec",0.912549635128714,0.102421737095187
"4","2","Overall","F_score",0.924104122228298,0.0884863282788702
"5","2","Overall","BiS",0.466311093704406,0.0107148976504518
"6","3","Overall","CSR",0.946388888888889,0.0583305485272339
"7","3","Overall","Rel",0.993287729503007,0.0254526020265543
"8","3","Overall","Rec",0.902656659184437,0.107489036738674
"9","3","Overall","F_score",0.935024978848187,0.0700256874446133
"10","3","Overall","BiS",0.469717788625145,0.00469205593872833
"11","4","Overall","CSR",0.96875,0.0327665631523771
"12","4","Overall","Rel",0.979133338041231,0.0347867324875321
"13","4","Overall","Rec",0.913392597300491,0.0760536229932776
"14","4","Overall","F_score",0.939940563115898,0.0541258903669584
"15","4","Overall","BiS",0.466523309474796,0.00705756538869292
