"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.830634920634921,0.0622419033681514
"2","2","Overall","Rel",0.0314003653466045,0.0196826404065375
"3","2","Overall","Rec",0.0472713213141871,0.0295376987758879
"4","2","Overall","F_score",0.0373746973089384,0.0233294245816717
"5","2","Overall","BiS",0.520169472461348,0.00977317708233631
"6","3","Overall","CSR",0.987333333333333,0.0276764592128008
"7","3","Overall","Rel",0.997721164021164,0.00850965757929439
"8","3","Overall","Rec",0.971477777777778,0.0553332980447756
"9","3","Overall","F_score",0.981333749016964,0.0371990165934758
"10","3","Overall","BiS",0.470026270729029,0.00490034765956648
"11","4","Overall","CSR",0.749333333333333,0.13119779107229
"12","4","Overall","Rel",0.370784548505873,0.388937478202582
"13","4","Overall","Rec",0.229607304735117,0.239482783402468
"14","4","Overall","F_score",0.277070541984714,0.286119650087765
"15","4","Overall","BiS",0.336093447046717,0.0571225865928082
"16","5","Overall","CSR",0.302566137566138,0.0940492003826008
"17","5","Overall","Rel",0.44741286557952,0.281633646096861
"18","5","Overall","Rec",0.0917293979395474,0.057065956491722
"19","5","Overall","F_score",0.151587264847465,0.0940071185456945
"20","5","Overall","BiS",0.230966308681287,0.146261048759135
