"","Method","Choice","Measure","Mean","S.d."
"1","50","Overall","CSR",0.836925925925926,0.0748211196014306
"2","50","Overall","Rel",0.830556069350197,0.152949238768138
"3","50","Overall","Rec",0.646038092489204,0.116351666392047
"4","50","Overall","F_score",0.704091292688223,0.108610302670295
"5","50","Overall","BiS",0.472872696572691,0.0344893404322181
"6","200","Overall","CSR",0.978888888888889,0.0387021756832909
"7","200","Overall","Rel",0.996063527431175,0.0117727304987299
"8","200","Overall","Rec",0.952033224400871,0.0782526392761335
"9","200","Overall","F_score",0.969659561849431,0.0478412276533927
"10","200","Overall","BiS",0.468163270621812,0.00524538999109085
"11","300","Overall","CSR",0.985833333333333,0.0332588453445214
"12","300","Overall","Rel",0.992636906101965,0.0231491259816025
"13","300","Overall","Rec",0.975733333333333,0.0538128528258045
"14","300","Overall","F_score",0.981742191506909,0.0423336256683807
"15","300","Overall","BiS",0.469415220496159,0.00348722600630666
"16","500","Overall","CSR",0.990555555555556,0.0328958440889884
"17","500","Overall","Rel",0.99580303030303,0.014451403700264
"18","500","Overall","Rec",0.994855555555556,0.0226180200267834
"19","500","Overall","F_score",0.994863589081214,0.0192785116029769
"20","500","Overall","BiS",0.469252906654144,0.00290565717247126
"21","1000","Overall","CSR",0.984166666666667,0.0462782466704433
"22","1000","Overall","Rel",0.993807584934964,0.0199937575795251
"23","1000","Overall","Rec",0.9885,0.0409456512866074
"24","1000","Overall","F_score",0.989460119096847,0.0332023878512364
"25","1000","Overall","BiS",0.469358332933441,0.0022326013604272
