"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.800334415584416,0.170226304001386
"2","2","Overall","Rel",0.570878577205972,0.242096254968174
"3","2","Overall","Rec",0.423332774276205,0.202297527733381
"4","2","Overall","F_score",0.457768089718656,0.190123341114143
"5","2","Overall","BiS",0.41284997677572,0.04525566650049
"6","3","Overall","CSR",0.835670995670996,0.141801133808531
"7","3","Overall","Rel",0.554829357118415,0.228974794340232
"8","3","Overall","Rec",0.442212866557466,0.207919868591559
"9","3","Overall","F_score",0.477726702075879,0.210449863766041
"10","3","Overall","BiS",0.414696453188335,0.0283267318400425
"11","4","Overall","CSR",0.9385,0.0544042528678821
"12","4","Overall","Rel",0.56781769993471,0.146497272515122
"13","4","Overall","Rec",0.482483036089528,0.145979008080326
"14","4","Overall","F_score",0.516500263861603,0.144270767053664
"15","4","Overall","BiS",0.39742775759142,0.0211151435550332
