"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.876041666666667,0.0538515632323993
"2","2","Overall","Rel",0.786674140141176,0.118354799202726
"3","2","Overall","Rec",0.604841145833333,0.102720486701051
"4","2","Overall","F_score",0.658422279033192,0.0734579425376169
"5","2","Overall","BiS",0.464898801410103,0.0109416613078092
"6","3","Overall","CSR",0.97,0.0407710767794326
"7","3","Overall","Rel",0.991061215301046,0.0244152007768078
"8","3","Overall","Rec",0.930360457725288,0.0752334647664238
"9","3","Overall","F_score",0.953476534023938,0.0505407794440087
"10","3","Overall","BiS",0.462992821889257,0.0251977800683467
"11","4","Overall","CSR",0.816116071428571,0.0669874490013695
"12","4","Overall","Rel",0.806753366730334,0.0560473552562859
"13","4","Overall","Rec",0.500284794314072,0.0946771837541532
"14","4","Overall","F_score",0.603768980789472,0.0743073725998641
"15","4","Overall","BiS",0.338727860497139,0.0548153803320049
"16","5","Overall","CSR",0.808080357142857,0.12345834971672
"17","5","Overall","Rel",0.554100016064846,0.225431829660128
"18","5","Overall","Rec",0.31020565472884,0.0981215006892359
"19","5","Overall","F_score",0.382432095766006,0.122758951763443
"20","5","Overall","BiS",0.199921219662284,0.104567128492479
