"","Method","Choice","Measure","Mean","S.d."
"1","0.01","Overall","CSR",0.907842657342657,0.0788002567704279
"2","0.01","Overall","Rel",0.739737796158971,0.115302914539778
"3","0.01","Overall","Rec",0.72122268878863,0.128968796833478
"4","0.01","Overall","F_score",0.725781490792885,0.117045918743653
"5","0.01","Overall","BiS",0.364450740441836,0.0295935125515096
"6","0.01","Overall","Restrictions",0,0
"7","2","Overall","CSR",0.855175324675325,0.112677300796478
"8","2","Overall","Rel",0.617491447630912,0.273124321628219
"9","2","Overall","Rec",0.433480841675384,0.184676292843855
"10","2","Overall","F_score",0.500935964766008,0.209964578322378
"11","2","Overall","BiS",0.385718582282218,0.0425715843618586
"12","2","Overall","Restrictions",1,0
"13","6","Overall","CSR",0.750623376623376,0.122607171386623
"14","6","Overall","Rel",0.257247096523137,0.33700305416685
"15","6","Overall","Rec",0.182968834967525,0.237938890098148
"16","6","Overall","F_score",0.209477476221388,0.27173475653066
"17","6","Overall","BiS",0.322148704018407,0.0455675280336221
"18","6","Overall","Restrictions",1,0
"19","10","Overall","CSR",0.668681818181818,0.158696393901484
"20","10","Overall","Rel",0.185207450194146,0.303180511707223
"21","10","Overall","Rec",0.115145308808969,0.194260589043377
"22","10","Overall","F_score",0.137406851283898,0.227065888603541
"23","10","Overall","BiS",0.312451647953004,0.0578302464433506
"24","10","Overall","Restrictions",1,0
"25","14","Overall","CSR",0.614321428571428,0.203217074973044
"26","14","Overall","Rel",0.167496343312865,0.293692353253551
"27","14","Overall","Rec",0.102031987552057,0.183336647562034
"28","14","Overall","F_score",0.123673764216449,0.217744657094178
"29","14","Overall","BiS",0.301823835838193,0.077640751129227
"30","14","Overall","Restrictions",1,0
"31","18","Overall","CSR",0.476607142857143,0.156081281253607
"32","18","Overall","Rel",0.104077060229835,0.268876546014423
"33","18","Overall","Rec",0.0518213896107576,0.136842208236399
"34","18","Overall","F_score",0.0679013528814022,0.177533343431462
"35","18","Overall","BiS",0.256148786486169,0.101192664453932
"36","18","Overall","Restrictions",1,0
"37","22","Overall","CSR",0.483107142857143,0.17649124030092
"38","22","Overall","Rel",0.0976573752662385,0.245957012201256
"39","22","Overall","Rec",0.0579518218397067,0.149915694846838
"40","22","Overall","F_score",0.071372751722611,0.182055537331767
"41","22","Overall","BiS",0.259956131412711,0.104595254657423
"42","22","Overall","Restrictions",1,0
"43","26","Overall","CSR",0.459214285714286,0.17377912024244
"44","26","Overall","Rel",0.0961486733511983,0.241326402058309
"45","26","Overall","Rec",0.0477694755098846,0.127358577144022
"46","26","Overall","F_score",0.0612715084528405,0.157675961484319
"47","26","Overall","BiS",0.241636354309713,0.106949551008297
"48","26","Overall","Restrictions",1,0
"49","30","Overall","CSR",0.508607142857143,0.175839780880754
"50","30","Overall","Rel",0.0936722809848292,0.217950804653397
"51","30","Overall","Rec",0.0494059182150293,0.12164034827792
"52","30","Overall","F_score",0.0629818375700345,0.150209316163295
"53","30","Overall","BiS",0.278134594745469,0.0840000077017853
"54","30","Overall","Restrictions",1,0
"55","60","Overall","CSR",0.544356893106893,0.222563955149366
"56","60","Overall","Rel",0.214623344237576,0.291739073398791
"57","60","Overall","Rec",0.102680986782357,0.138870575281861
"58","60","Overall","F_score",0.135241994025164,0.181319743418332
"59","60","Overall","BiS",0.257579923865219,0.0987129560483429
"60","60","Overall","Restrictions",1,0
"61","80","Overall","CSR",0.630048701298701,0.220541430897534
"62","80","Overall","Rel",0.301051684174076,0.304609547602139
"63","80","Overall","Rec",0.156342045392612,0.158654726196857
"64","80","Overall","F_score",0.200779340739874,0.200554574274458
"65","80","Overall","BiS",0.29016561417088,0.0794773739753877
"66","80","Overall","Restrictions",1,0
"67","100","Overall","CSR",0.668716283716284,0.231236808408707
"68","100","Overall","Rel",0.396636462868702,0.289777901953463
"69","100","Overall","Rec",0.199965614727392,0.15298174730205
"70","100","Overall","F_score",0.258434096217426,0.188602338974888
"71","100","Overall","BiS",0.292316617709086,0.10077904379768
"72","100","Overall","Restrictions",1,0
"73","120","Overall","CSR",0.697773726273726,0.228803081674464
"74","120","Overall","Rel",0.364548389287377,0.249603615615017
"75","120","Overall","Rec",0.195344064605279,0.148218740024509
"76","120","Overall","F_score",0.247810957619379,0.176309531301507
"77","120","Overall","BiS",0.290143533522487,0.0707441889140543
"78","120","Overall","Restrictions",1,0
"79","140","Overall","CSR",0.719866883116883,0.174492979548245
"80","140","Overall","Rel",0.438618100726619,0.252321254765816
"81","140","Overall","Rec",0.217140195576104,0.135726663572347
"82","140","Overall","F_score",0.283115192391116,0.165281017433883
"83","140","Overall","BiS",0.329740572907846,0.0565402279751089
"84","140","Overall","Restrictions",1,0
"85","160","Overall","CSR",0.756974025974026,0.199518894441073
"86","160","Overall","Rel",0.455919930865547,0.211602107091416
"87","160","Overall","Rec",0.215214232699913,0.109785128582137
"88","160","Overall","F_score",0.285936812485773,0.136580300284809
"89","160","Overall","BiS",0.313129555489831,0.0675183446962383
"90","160","Overall","Restrictions",1,0
"91","180","Overall","CSR",0.766253246753247,0.211473946297699
"92","180","Overall","Rel",0.483121642587836,0.223270092611034
"93","180","Overall","Rec",0.21610497765296,0.107040191914828
"94","180","Overall","F_score",0.293900957519253,0.137334640220187
"95","180","Overall","BiS",0.317096569716872,0.0798150530097499
"96","180","Overall","Restrictions",1,0
"97","200","Overall","CSR",0.794477272727273,0.17497945531354
"98","200","Overall","Rel",0.47922119889106,0.17676375870426
"99","200","Overall","Rec",0.228201336437021,0.0961803438095326
"100","200","Overall","F_score",0.303601207210126,0.117899029474288
"101","200","Overall","BiS",0.322840418071444,0.0600370547791264
"102","200","Overall","Restrictions",1,0
"103","220","Overall","CSR",0.70911038961039,0.206408886562541
"104","220","Overall","Rel",0.400739025985672,0.262615252554168
