"","Method","Choice","Measure","Mean","S.d."
"1","ResNMTF","Overall","CSR",1,0
"2","ResNMTF","Overall","Rel",0.996830118495005,0.00437936554102694
"3","ResNMTF","Overall","Rev",0.996830118495005,0.00437936554102694
"4","ResNMTF","Overall","F_score",0.996830118495005,0.00437936554102694
"5","ResNMTF","Overall","BiS",0.472379520474017,0.00939830254202477
"6","iSSVD","Overall","CSR",0,0
"7","iSSVD","Overall","Rel",0.26657234677114,0.0526361219558452
"8","iSSVD","Overall","Rev",0.099407329889935,0.0123994070599307
"9","iSSVD","Overall","F_score",0.143358834753574,0.0176612191141502
"10","iSSVD","Overall","BiS",0.41648129416721,0.0216312569225976
