"","Method","Choice","Measure","Mean","S.d."
"1","Iter","Error","accuracy",0.64,0.489897948556636
"2","Iter","Error","NMI",0.860893893751471,0.159146468037531
"3","Iter","Error","ARI",0.873281357016267,0.146549347463014
"4","Iter","RelErr","accuracy",0.68,0.476095228569523
"5","Iter","RelErr","NMI",0.881475910000448,0.166011946711308
"6","Iter","RelErr","ARI",0.892364599558292,0.155427605902229
"7","Iter","Sil","accuracy",1,0
"8","Iter","Sil","NMI",0.962510084011745,0.0573010370300507
"9","Iter","Sil","ARI",0.964444981647983,0.0584016345323981
"10","Conv","Error","accuracy",0.8,0.408248290463863
"11","Conv","Error","NMI",0.939638952642093,0.100793768412604
"12","Conv","Error","ARI",0.947869708410589,0.0886719327680167
"13","Conv","RelErr","accuracy",1,0
"14","Conv","RelErr","NMI",0.994652297161128,0.0260126649640211
"15","Conv","RelErr","ARI",0.994589915154336,0.0266904694143119
"16","Conv","Sil","accuracy",1,0
"17","Conv","Sil","NMI",0.978837215842052,0.0324996333861384
"18","Conv","Sil","ARI",0.981192905905383,0.0323537459337243
