"","Method","Choice","Measure","Mean","S.d."
"1","Iter","Error","accuracy",0.76,0.435889894354067
"2","Iter","Error","NMI",0.906512369025354,0.152231451422292
"3","Iter","Error","ARI",0.911309353445912,0.151595723152952
"4","Iter","RelErr","accuracy",0.76,0.435889894354067
"5","Iter","RelErr","NMI",0.907244840909833,0.153869680073832
"6","Iter","RelErr","ARI",0.913153636317585,0.153219777413542
"7","Iter","Sil","accuracy",1,0
"8","Iter","Sil","NMI",0.986512463878016,0.0268422263455889
"9","Iter","Sil","ARI",0.989887403112281,0.0230265541269896
"10","Conv","Error","accuracy",0.96,0.2
"11","Conv","Error","NMI",0.860817847732534,0.328396017362931
"12","Conv","Error","ARI",0.856122435634613,0.335558134755329
"13","Conv","RelErr","accuracy",0.72,0.458257569495584
"14","Conv","RelErr","NMI",0.75648682501262,0.361229128544729
"15","Conv","RelErr","ARI",0.760359516875236,0.366754367438465
"16","Conv","Sil","accuracy",1,0
"17","Conv","Sil","NMI",0.835173571519507,0.367758895902373
"18","Conv","Sil","ARI",0.832073443723838,0.373844579768796
