"","Method","Cluster","Measure","Mean","S.d."
"1","NMTF","Row","accuracy",0.901943048576214,0.133114963750932
"2","NMTF","Column","accuracy",0.949265733310484,0.0803140679114123
"3","NMTF","Overall","accuracy",0.925604390943349,0.0968252123581595
"4","NMTF - k means","Row","accuracy",0.745092127303183,0.140744678601843
"5","NMTF - k means","Column","accuracy",0.816195890550452,0.10407925966432
"6","NMTF - k means","Overall","accuracy",0.780644008926817,0.110887279000034
"7","NMTF","Row","ARI",0.816033840753882,0.235717559067633
"8","NMTF","Column","ARI",0.903042268548751,0.143404403489671
"9","NMTF","Overall","ARI",0.859538054651316,0.173983362295074
"10","NMTF - k means","Row","ARI",0.530389590707121,0.240271985965336
"11","NMTF - k means","Column","ARI",0.677531998827816,0.168207626906547
"12","NMTF - k means","Overall","ARI",0.603960794767468,0.187435303821431
"13","NMTF","Row","NMI",0.827636196280222,0.215916049472568
"14","NMTF","Column","NMI",0.904754060744807,0.132165682743007
"15","NMTF","Overall","NMI",0.866195128512515,0.161393109258513
"16","NMTF - k means","Row","NMI",0.568429493642782,0.213666877602898
"17","NMTF - k means","Column","NMI",0.679034295614197,0.158217658136002
"18","NMTF - k means","Overall","NMI",0.62373189462849,0.174696256734599
