"","x"
"1",129.568389109363
"2",162.148391977382
"3",129.742592788167
"4",149.390788952121
"5",138.154722810573
"6",150.950915108987
"7",140.897637206089
"8",161.193613310255
"9",125.182022931771
"10",125.536741781679
"11",134.051913466074
"12",128.083939715164
"13",124.285587299052
"14",129.817457576862
"15",123.319243363052
"16",130.432134467785
"17",124.59222771474
"18",136.226886897151
"19",127.290732420553
"20",122.745794692367
"21",134.990429446285
"22",149.642174813354
"23",137.233372418639
"24",132.579748237419
"25",134.560691063776
"26",133.962885934136
"27",125.145545023306
"28",127.258349137821
"29",136.410687677632
"30",142.412534402249
"31",124.647982240512
"32",126.623548166807
"33",134.274158840793
"34",143.431081917979
"35",162.980032868971
"36",152.254923124319
"37",134.637983641505
"38",158.364726600648
"39",145.105198530722
"40",138.53286479067
"41",133.758818543249
"42",127.608564085913
"43",144.453706791158
"44",123.321487674718
"45",122.295763904123
"46",124.160870294364
"47",126.717370164538
"48",125.994196995809
"49",123.831386368304
"50",152.129121613399
"51",145.634270553823
"52",150.174781164411
"53",142.806091635701
"54",136.592914601616
"55",130.728608386936
"56",123.74407208827
"57",126.221663963726
"58",123.229494740621
"59",121.747058222621
"60",123.526225956734
"61",123.147643739976
"62",128.359638636461
"63",132.547829341837
"64",127.631453589837
"65",122.78866145814
"66",122.720434501915
"67",129.510848414654
"68",130.374237455634
"69",134.788036152829
"70",136.28884258109
"71",132.684638355153
"72",129.476785594875
"73",126.937856217606
"74",122.794258834998
"75",122.183112229302
"76",122.301696345003
"77",122.307263965634
"78",121.365771631187
"79",128.835098866523
"80",134.229098200079
"81",131.981655335148
"82",133.278235363446
"83",130.634862204076
"84",134.266437223303
"85",125.756288776826
"86",125.652178387787
"87",126.274405217965
"88",127.138944034433
"89",137.905010543357
"90",134.44583855927
"91",126.647043142156
"92",132.412930680811
"93",127.810561799879
"94",139.215789603515
"95",137.453472789215
"96",126.579158468592
"97",131.105218560445
"98",123.999420221002
"99",133.871266700448
"100",124.449289096172
"101",130.072239089239
"102",128.221318709372
"103",123.007966500915
"104",122.57889002223
"105",121.507880990375
"106",124.880939388377
"107",125.331198707557
"108",123.72464855194
"109",124.236503325624
"110",123.507065966786
"111",125.429995915344
"112",134.011401318796
"113",127.470452587234
"114",134.363888898429
"115",123.167791717527
"116",122.781680914351
"117",128.816132425207
"118",126.912838561103
"119",129.059599359518
"120",126.918202166326
"121",127.761450910242
"122",131.183790744711
"123",132.586959858553
"124",133.07713394992
"125",140.735175074078
"126",142.546368087579
"127",134.842806341586
"128",128.120498389924
"129",136.22786134736
"130",134.306595327343
"131",131.222483348036
"132",128.680406805266
"133",139.024557030774
"134",134.345443642805
"135",135.023006684759
"136",126.815290968132
"137",126.751403871852
"138",129.341248922237
"139",127.206128607842
"140",132.440847581379
"141",123.766530381673
"142",123.536101741533
"143",130.881760615171
"144",122.477819222041
"145",124.714616238089
"146",135.311137140611
"147",162.932681822608
"148",165.672809087699
"149",154.987925809145
"150",186.471175692872
"151",171.122565616049
"152",160.227947053326
"153",154.5643489893
"154",158.175590798481
"155",159.469605129791
"156",153.810587435636
"157",151.546945330628
"158",156.784576110159
"159",157.942392088216
"160",161.105260968946
"161",161.072207504878
"162",145.039113578957
"163",145.453980716544
"164",140.862161110177
"165",137.583805717975
"166",137.77996451267
"167",139.540704436936
"168",158.373100940629
"169",137.445671450956
"170",133.776350287459
"171",153.406888344382
"172",141.33803056039
"173",143.63014046067
"174",145.636428364048
"175",136.7706836961
"176",136.929230950698
"177",134.777466151748
"178",138.488397905166
"179",136.36170172405
"180",140.712684821498
"181",135.205610390262
"182",146.895843358768
"183",136.842807297735
"184",144.598003135287
"185",140.191208007487
"186",138.394406160432
"187",148.19450179344
"188",138.403162411514
"189",138.216779029504
"190",139.330883197649
"191",143.533973347011
"192",137.674389060974
"193",136.190754631084
"194",142.926006968589
"195",143.077083023868
"196",136.680607847592
"197",134.510760955805
"198",131.155261268725
"199",130.247969487613
"200",148.920507729526
"201",139.35032068434
"202",126.664984238006
"203",126.026471527989
"204",131.380816583665
"205",128.145147037543
"206",125.055787135638
"207",130.568153845198
"208",124.492773452291
"209",135.74255176137
"210",135.440552900227
"211",125.110402251536
"212",136.436956654141
"213",128.269513503946
"214",127.079150015368
"215",125.090081722711
"216",127.945660994997
"217",125.128653284459
"218",144.652730620276
"219",148.81317531003
"220",147.254820801097
"221",137.232559115024
"222",136.234806576985
"223",130.272782035365
"224",129.282808706014
"225",134.391804605529
"226",130.254584231313
"227",132.23227965775
"228",132.864505808991
"229",124.241786592015
"230",124.84393695455
"231",124.030416175988
"232",127.786574504649
"233",128.959746591671
"234",128.431583255044
"235",126.133361869743
"236",131.251493445665
"237",132.261155411725
"238",133.254572333856
"239",128.982766050755
"240",137.215301688461
"241",138.246470000309
"242",133.614845406305
"243",131.485160733854
"244",136.974865379297
"245",126.309994508184
"246",137.925993101202
"247",132.745687116372
"248",143.488044418114
"249",143.112269208383
"250",134.536487194681
"251",128.499408972202
"252",150.988169084242
"253",129.934711598526
"254",147.179567077582
"255",139.170972937118
"256",130.031204681693
"257",142.787205841871
"258",127.27866573892
"259",122.844443514943
"260",123.364934800969
"261",122.505254611215
"262",121.813207503496
"263",128.225452757059
"264",122.316659458749
"265",121.562655550516
"266",121.48569349802
"267",121.902245129086
"268",126.256650061239
"269",121.855115843397
"270",121.392399355854
"271",122.533838895439
"272",123.681826800725
"273",129.428001563618
"274",122.707597563459
"275",121.518292850573
"276",121.548745326305
"277",121.204637599604
"278",121.089574819898
"279",124.136585093789
"280",122.628410285349
"281",128.553129964956
"282",127.883803545714
"283",127.645623355959
"284",121.460283193789
"285",128.159038599338
"286",125.31693401351
"287",125.774927517079
"288",122.301810124172
"289",121.372014274313
"290",122.782163646523
"291",122.59144322334
"292",122.05652102403
"293",122.124866458152
"294",132.404532315443
"295",127.631989889006
"296",123.254572103028
"297",124.807421968588
"298",131.010832735453
"299",125.946306447945
"300",121.531753730908
"301",121.460783456634
"302",121.905748758975
"303",121.493351552627
"304",131.131524882195
"305",128.904296017015
"306",130.129546316889
"307",132.327086361054
"308",128.624982260932
"309",130.100708431413
"310",124.957667241227
"311",121.450443553721
"312",121.525955807181
"313",121.200019832132
"314",121.158538417813
"315",121.213879123314
"316",124.032276459576
"317",123.710464709916
"318",128.613878212664
"319",122.012947857113
"320",121.586106874363
"321",121.667361897263
"322",121.291955873884
"323",126.425323229853
"324",123.656480076134
"325",121.673359627455
"326",121.380984437638
"327",131.062434283732
"328",123.962564811676
"329",124.532849775959
"330",132.541430184273
"331",127.662177294485
"332",127.426725998631
"333",127.75234182306
"334",127.726880585851
"335",125.28057745851
"336",127.961214004992
"337",145.357644054721
"338",135.395255432564
"339",134.875277691752
"340",131.570480952646
"341",128.442742133522
"342",123.459741024928
"343",121.752523373376
"344",121.479433642919
"345",122.706273141007
"346",123.511905453989
"347",122.046589842002
"348",121.852185865711
"349",121.575064184758
"350",122.51774457705
"351",122.132341286508
"352",132.374391755991
"353",131.562489613948
"354",125.560077605721
"355",122.95606612054
"356",121.565732423545
"357",122.447559712107
"358",124.248589478372
"359",124.237461200393
"360",122.014782593344
"361",121.489584448417
"362",121.322678174892
"363",121.556711455999
"364",122.452122667369
"365",127.103130514396
"366",124.371624099521
"367",123.493765895084
"368",123.832566536717
"369",121.485228271235
"370",121.401609720179
"371",121.910093228737
"372",121.310513446782
"373",122.230020498291
"374",122.265248506794
"375",121.137102178065
"376",121.371686503085
"377",124.232570617193
"378",133.563530909718
"379",128.086371249593
"380",123.973891947966
"381",123.227766658088
"382",122.080319903432
"383",122.59503255716
"384",121.349750164819
"385",138.838197932618
"386",132.863045171192
"387",128.851347347193
"388",135.411466015484
"389",151.785872880183
"390",138.278156823088
"391",156.357713757963
"392",141.908982907493
"393",148.682297792881
"394",140.967413768794
"395",128.915199282223
"396",144.750067977351
"397",149.755027926347
"398",170.564599495842
"399",172.167472950275
"400",139.617693884064
"401",140.543125437227
"402",129.161679015434
"403",127.477789894022
"404",125.698642564953
"405",136.641249041113
"406",124.408010286881
"407",122.358509495912
"408",123.563069333014
"409",121.395197892467
"410",128.156412037
"411",136.607786230816
"412",127.451673261457
"413",142.738351805688
"414",139.106112402629
"415",126.596797064895
"416",124.861514079211
"417",133.283041186224
"418",129.470187671365
"419",126.371792874226
"420",124.782923098356
"421",122.974184298309
"422",121.663614597744
"423",127.169010017305
"424",122.32227519018
"425",125.972585721619
"426",124.252860404521
"427",128.23415205136
"428",125.57461270098
"429",122.136504852108
"430",149.484719847012
"431",132.903861250395
"432",138.392590513079
"433",126.548864822108
"434",125.341557611607
"435",125.911123625615
"436",156.862973710813
"437",135.876018407407
"438",134.76704221913
"439",134.784086221431
"440",134.386839302832
"441",132.719682119685
"442",123.549291111378
"443",123.332921824153
"444",126.932242928256
"445",146.84727420579
"446",158.519529323066
"447",148.472221850452
"448",134.771542838701
"449",139.12662450976
"450",128.008881866359
"451",132.842442423156
"452",126.017713276908
"453",133.242889469364
"454",127.065603800136
"455",121.581756691088
"456",122.68960913785
"457",122.935490239664
"458",129.759359155028
"459",125.767714984929
"460",123.842716471407
"461",123.93405098926
"462",122.365495470447
"463",139.042289542416
"464",151.027740814866
"465",170.67964262255
"466",156.313540392249
"467",139.119428384566
"468",134.675953811354
"469",137.343633908538
"470",130.783149815144
"471",123.72884261307
"472",133.092477125697
"473",130.485436418276
"474",141.633980238558
"475",128.421622832499
"476",128.577125445473
"477",126.98958921487
"478",130.256654709574
"479",131.385494915293
"480",123.943189326573
"481",122.198521291791
"482",121.863973465059
"483",124.293412626749
"484",133.154928301598
"485",129.888025622163
"486",131.390484311731
"487",131.046627116935
"488",129.466122698171
"489",132.262099129886
"490",132.037462532082
"491",146.805889866927
"492",156.552828222478
"493",168.618049257879
"494",150.634862827175
"495",163.489300688319
"496",151.311662368735
"497",155.622324941503
"498",147.00229569105
"499",124.202240322429
"500",124.311207099535
"501",125.487322701437
"502",124.761680716657
"503",136.859803038107
"504",123.168324526733
"505",121.519020646775
"506",122.583433516384
"507",123.138084772328
"508",130.74204101342
"509",134.054303355118
"510",144.28787379603
"511",172.557086836906
"512",138.145125499542
"513",140.602825444978
"514",137.10616247987
"515",133.154753875816
"516",132.865357673368
"517",123.47513031367
"518",133.541518107307
"519",148.69256122336
"520",139.129565080489
"521",139.932415080175
"522",134.333343221407
"523",139.667163223271
"524",130.05078467131
"525",140.710386129158
"526",125.837112707362
"527",126.626049230746
"528",126.279131930798
"529",146.807701500122
"530",131.766186382473
"531",126.974776329496
"532",133.879292889354
"533",132.045439794776
"534",125.355238417266
"535",122.090897404108
"536",123.091850974295
"537",124.265160643667
"538",124.019821640925
"539",124.272306423276
"540",122.492032983381
"541",125.536665843342
"542",123.59726726383
"543",121.408737672288
"544",121.162204527549
"545",121.088441778144
"546",121.128094741839
"547",121.10249833603
"548",121.070682459979
"549",121.085892760667
"550",121.071935905894
"551",121.122351984389
"552",121.091464779208
"553",121.524781354084
"554",121.388905467013
"555",122.853442822684
"556",121.810119653306
"557",121.497084447456
"558",122.875936168788
"559",121.293434128084
"560",121.138769295955
"561",121.539514608938
"562",121.301030514867
"563",121.682954022705
"564",121.08206030403
"565",121.889302657511
"566",122.386813483376
"567",121.232925163641
"568",121.147471411396
"569",121.211744255745
"570",121.070928099886
"571",121.130175932666
"572",121.063340571152
"573",121.755577304454
"574",121.93865273369
"575",122.953818342735
"576",121.441769847627
"577",122.328212663202
"578",121.102151843754
"579",122.450746105691
"580",121.30152078745
"581",124.792656414977
"582",122.324109572504
"583",121.708681357331
"584",121.291559555171
"585",121.111588870348
"586",121.20819824609
"587",121.063809078131
"588",121.128865686314
"589",121.064683342148
"590",121.080839426268
"591",121.065053127553
"592",121.082200955744
"593",121.071031389973
"594",122.27114099582
"595",123.166788650568
"596",121.556629319801
"597",122.907026337193
"598",123.466954611478
"599",126.638850357617
"600",123.003547333234
"601",124.857378153627
"602",122.242853312802
"603",121.187705463684
"604",121.13426255117
"605",121.827495680242
"606",121.38311322528
"607",121.080745266497
"608",124.868463622135
"609",124.780076925339
"610",122.653724257425
"611",121.795941728171
"612",121.334639810476
"613",121.305665205463
"614",121.224503578076
"615",121.311301659735
"616",121.678582166205
"617",121.140479668792
"618",121.17511946227
"619",121.151159315695
"620",121.120761578765
"621",121.059687224767
"622",121.1150700395
"623",121.067479475577
"624",121.193938878038
"625",121.065209118377
"626",121.064128874948
"627",121.069468292298
"628",121.062644970217
"629",121.092955332713
"630",121.062139234098
"631",121.06413736065
"632",121.07150791411
"633",121.058746666553
"634",121.066690116207
"635",121.070308270369
"636",121.071253243956
"637",121.120285898697
"638",121.065749462552
"639",121.076091708205
"640",121.072797005749
"641",121.06686844804
"642",121.088535168715
"643",121.068768200901
