"","k","Cluster","Measure","Mean","S.d."
"1","2","Overall","accuracy",0.70891392925332,0.00923483372217472
"2","2","Overall","ARI",0.532072094787936,0.0128293890413855
"3","2","Overall","NMI",0.499357732236247,0.0170606707122322
"4","2","Overall","Error",145.152476537518,1.47802920471526
"5","3","Overall","accuracy",0.990795925685174,0.0180691544116574
"6","3","Overall","ARI",0.97941418924028,0.0340001741182491
"7","3","Overall","NMI",0.977849271168662,0.0312701670304259
"8","3","Overall","Error",128.646621576325,6.34795189903557
"9","4","Overall","accuracy",0.796335948268762,0.0725112055984688
"10","4","Overall","ARI",0.680378492790726,0.126273667276284
"11","4","Overall","NMI",0.696611790355162,0.0886367493868385
"12","4","Overall","Error",129.962969368595,5.89459671034526
"13","5","Overall","accuracy",0.677078891429993,0.0764357825244809
"14","5","Overall","ARI",0.493921823385585,0.10139266403069
"15","5","Overall","NMI",0.524088631648549,0.0720883703119945
"16","5","Overall","Error",132.381974476072,7.35109017714977
"17","6","Overall","accuracy",0.604142752359395,0.0611100494288708
"18","6","Overall","ARI",0.402732245215729,0.0843134912687395
"19","6","Overall","NMI",0.428849612215482,0.0633449208410431
"20","6","Overall","Error",131.980455202771,5.05147578741658
