"","k","Phi","Measure","Mean","S.d."
"1","2","0","NMI",0.492559230346143,0.0232046224295819
"2","2","0.002","NMI",0.492781879464991,0.0245845792067308
"3","2","0.004","NMI",0.490421559182066,0.0235566327728448
"4","2","0.006","NMI",0.493940728873674,0.0233993624986815
"5","2","0.008","NMI",0.488569496446194,0.0256453364516211
"6","2","0.01","NMI",0.490875854988055,0.0240254487675286
"7","2","0.012","NMI",0.492869380537984,0.0239614540166914
"8","2","0.014","NMI",0.492564634695881,0.0223123183616782
"9","2","0.016","NMI",0.488079435795415,0.0225674739147305
"10","2","0.018","NMI",0.493820443262387,0.0225358788698317
"11","2","0.02","NMI",0.494338731165066,0.0222821103310577
"12","2","0.03","NMI",0.492357825500081,0.0208945623568994
"13","2","0.04","NMI",0.49473192342287,0.0205518027853635
"14","3","0","NMI",0.991920088412835,0.0142736077731391
"15","3","0.002","NMI",0.983043504363997,0.0321372980966665
"16","3","0.004","NMI",0.988714030016963,0.00958256713445743
"17","3","0.006","NMI",0.971773909001161,0.0466436971118244
"18","3","0.008","NMI",0.975091884280658,0.0373794602648979
"19","3","0.01","NMI",0.981682231015909,0.0352817554796259
"20","3","0.012","NMI",0.963871194936366,0.0509927094638404
"21","3","0.014","NMI",0.954039930042507,0.0722586893390705
"22","3","0.016","NMI",0.985901570019797,0.0199523104943314
"23","3","0.018","NMI",0.981577114825983,0.0398439819645732
"24","3","0.02","NMI",0.971307946200197,0.0440082551254765
"25","3","0.03","NMI",0.949292821815634,0.0643359747847762
"26","3","0.04","NMI",0.969106234566676,0.0516704833765505
"27","4","0","NMI",0.755212461649845,0.0671748218266219
"28","4","0.002","NMI",0.658161543404294,0.0932623911523623
"29","4","0.004","NMI",0.675712492422401,0.0979962555841574
"30","4","0.006","NMI",0.698691690911108,0.0943113776268654
"31","4","0.008","NMI",0.676416532537453,0.0924441783184699
"32","4","0.01","NMI",0.684619509908383,0.0825910938649583
"33","4","0.012","NMI",0.696965454480185,0.0696995717372197
"34","4","0.014","NMI",0.694140208660782,0.0910239692142882
"35","4","0.016","NMI",0.696727905059576,0.092223701945809
"36","4","0.018","NMI",0.708663470169985,0.0669807833557839
"37","4","0.02","NMI",0.693791388856363,0.0903418991002247
"38","4","0.03","NMI",0.673388531053818,0.10933559567356
"39","4","0.04","NMI",0.707585022248318,0.0810429338887401
"40","5","0","NMI",0.65018153795281,0.0343246701591846
"41","5","0.002","NMI",0.516620996327006,0.088428690467651
"42","5","0.004","NMI",0.538967797092082,0.0809098958883082
"43","5","0.006","NMI",0.523396843233834,0.0749852772062268
"44","5","0.008","NMI",0.529604402463763,0.0665235537998192
"45","5","0.01","NMI",0.510092277779809,0.0531727644603262
"46","5","0.012","NMI",0.514602825506511,0.0714240309844722
"47","5","0.014","NMI",0.529136096616583,0.0541300272278642
"48","5","0.016","NMI",0.522846200349433,0.0785502786877088
"49","5","0.018","NMI",0.511779171904885,0.0739451026640837
"50","5","0.02","NMI",0.528722850895882,0.057230034460151
"51","5","0.03","NMI",0.522144585228545,0.0692282869965928
"52","5","0.04","NMI",0.531858028405249,0.0505926933119494
"53","6","0","NMI",0.569373786946178,0.0408693292422516
"54","6","0.002","NMI",0.406270862276284,0.0614538012723885
"55","6","0.004","NMI",0.397241511034757,0.0540524231519551
"56","6","0.006","NMI",0.418516575677748,0.0491394418633418
"57","6","0.008","NMI",0.419968810634503,0.0674389822844303
"58","6","0.01","NMI",0.43453489568483,0.0649995774201769
"59","6","0.012","NMI",0.43598468885253,0.0490845400481988
"60","6","0.014","NMI",0.4035147858726,0.0554710050371472
"61","6","0.016","NMI",0.408823502946007,0.0597642734237935
"62","6","0.018","NMI",0.430385794253212,0.0533855838756931
"63","6","0.02","NMI",0.453635259373451,0.0498915436593459
"64","6","0.03","NMI",0.431788703457539,0.0535395753245383
"65","6","0.04","NMI",0.458433233591964,0.0618085742042799
