"","k","Phi","Measure","Mean","S.d."
"1","2","0","Error",144.712373199511,1.1051374404877
"2","2","0.002","Error",144.711965729457,1.05480540973595
"3","2","0.004","Error",145.138058058159,1.76494758197985
"4","2","0.006","Error",144.928053199122,1.57350426494944
"5","2","0.008","Error",144.920662830324,1.53014985972675
"6","2","0.01","Error",145.126861198114,2.18591856770728
"7","2","0.012","Error",144.864864965058,1.64143713090495
"8","2","0.014","Error",145.054586663055,2.14458110774336
"9","2","0.016","Error",144.678571572113,1.13664340139658
"10","2","0.018","Error",144.959954220293,1.44130882633305
"11","2","0.02","Error",144.801398758109,1.2617017161678
"12","2","0.03","Error",144.823418786728,1.06633053713627
"13","2","0.04","Error",144.789724303838,1.42144961376268
"14","3","0","Error",127.572696171535,4.9825853455061
"15","3","0.002","Error",128.345020715323,6.292417776747
"16","3","0.004","Error",127.746660215831,4.46788120054554
"17","3","0.006","Error",129.870889889848,7.05276817908512
"18","3","0.008","Error",130.319504899419,6.0364741658737
"19","3","0.01","Error",130.473643474348,7.43715183474644
"20","3","0.012","Error",127.188904155634,6.11342701115711
"21","3","0.014","Error",129.569870123515,6.25629548394897
"22","3","0.016","Error",129.686114586215,4.48615666370973
"23","3","0.018","Error",132.473958974021,9.86827119680289
"24","3","0.02","Error",128.354773036157,5.34978283081643
"25","3","0.03","Error",133.789046814149,10.237397471211
"26","3","0.04","Error",130.651385858001,7.0797614432056
"27","4","0","Error",135.514097909727,7.27551166441537
"28","4","0.002","Error",132.307840183228,6.89266821631544
"29","4","0.004","Error",128.756095628793,4.45494182855206
"30","4","0.006","Error",128.963537559104,5.83750848887528
"31","4","0.008","Error",133.97093129375,6.7780715728089
"32","4","0.01","Error",132.32719258265,7.7163565213743
"33","4","0.012","Error",131.227586806613,6.24098470393739
"34","4","0.014","Error",133.688130122865,8.47018166028826
"35","4","0.016","Error",132.111318232446,6.897148938744
"36","4","0.018","Error",132.129596499729,8.78599685176349
"37","4","0.02","Error",130.328337339473,6.81858862906539
"38","4","0.03","Error",133.460701653593,7.88160956738809
"39","4","0.04","Error",132.224398206007,7.65379017373513
"40","5","0","Error",135.269633661669,5.96987691476742
"41","5","0.002","Error",132.48119385918,6.11960295593456
"42","5","0.004","Error",134.191761057241,7.90885131329274
"43","5","0.006","Error",133.73968368706,6.43920478192042
"44","5","0.008","Error",131.966205266311,4.9166543762482
"45","5","0.01","Error",132.957723641159,7.26586213520206
"46","5","0.012","Error",131.547176776152,6.15012466274417
"47","5","0.014","Error",135.285835250988,7.4331252225054
"48","5","0.016","Error",135.900392972302,14.988706472705
"49","5","0.018","Error",132.633985257843,5.46454901056063
"50","5","0.02","Error",131.919066137531,5.69911524637032
"51","5","0.03","Error",132.617592251074,7.07537722418041
"52","5","0.04","Error",132.580524593987,6.50747706418533
"53","6","0","Error",133.37005438578,4.30163784404453
"54","6","0.002","Error",134.345881870909,9.09676679585071
"55","6","0.004","Error",135.417906301208,8.95318221879284
"56","6","0.006","Error",133.409966441102,7.27097578255231
"57","6","0.008","Error",130.897225603028,6.57527598975852
"58","6","0.01","Error",143.408852596421,56.6815973261192
"59","6","0.012","Error",132.415412720328,6.22346350729458
"60","6","0.014","Error",131.250584134265,5.19533232254931
"61","6","0.016","Error",134.819665505135,7.03922126281891
"62","6","0.018","Error",131.651687893843,5.97092239314295
"63","6","0.02","Error",131.977207118039,6.0624920199986
"64","6","0.03","Error",131.519212318566,5.2595319689836
"65","6","0.04","Error",131.699503562691,7.68041332999269
