"","k","Phi","Measure","Mean","S.d."
"1","2","0","ARI",0.51958837629185,0.0340409313276975
"2","2","0","NMI",0.48482712678773,0.0311376874150861
"3","2","0","Sil",0.264296334452833,0.0183118059185209
"4","2","0","Error",0.674446219017868,0.00930634556253366
"5","2","0.002","ARI",0.527479507510326,0.0164336916779545
"6","2","0.002","NMI",0.492543580173455,0.0182616117155236
"7","2","0.002","Sil",0.268348876068737,0.0119046042676874
"8","2","0.002","Error",0.673953216167591,0.00699772579537686
"9","2","0.004","ARI",0.52780440521585,0.016147761253186
"10","2","0.004","NMI",0.492038704149224,0.0186019527490329
"11","2","0.004","Sil",0.268442243829637,0.0115669117242725
"12","2","0.004","Error",0.673297121926991,0.00599497213809634
"13","2","0.006","ARI",0.529148535105151,0.0145122071886228
"14","2","0.006","NMI",0.493786025296209,0.0162383106208737
"15","2","0.006","Sil",0.26972498664253,0.0101057376740014
"16","2","0.006","Error",0.671680965405024,0.00576213957401476
"17","2","0.008","ARI",0.528423242448476,0.0136867518632387
"18","2","0.008","NMI",0.49201170411168,0.0162002929672035
"19","2","0.008","Sil",0.269056257583842,0.00933546906943622
"20","2","0.008","Error",0.673923129585694,0.0057679702182182
"21","2","0.01","ARI",0.529119888848564,0.0145879899999731
"22","2","0.01","NMI",0.494076175023726,0.0169819110413617
"23","2","0.01","Sil",0.269569990946053,0.0104774445915607
"24","2","0.01","Error",0.672447523763541,0.00593960838863691
"25","2","0.012","ARI",0.531409626348052,0.0132143798051839
"26","2","0.012","NMI",0.496791154557316,0.015146121821038
"27","2","0.012","Sil",0.27114955487106,0.00906315602943016
"28","2","0.012","Error",0.672568752514365,0.0062040323568197
"29","2","0.014","ARI",0.528260790210161,0.0126281647827487
"30","2","0.014","NMI",0.492239286097247,0.0146867143586708
"31","2","0.014","Sil",0.268796663731984,0.00901832719231387
"32","2","0.014","Error",0.673781111329599,0.00683204374801038
"33","2","0.016","ARI",0.525998356054879,0.0166337963536547
"34","2","0.016","NMI",0.490902381112938,0.0185138912759997
"35","2","0.016","Sil",0.267781643102531,0.011057189414256
"36","2","0.016","Error",0.674292509837746,0.00769094338141383
"37","2","0.018","ARI",0.530692072298333,0.0135041305105148
"38","2","0.018","NMI",0.496025775019412,0.015528573358754
"39","2","0.018","Sil",0.270867931280597,0.009133285310812
"40","2","0.018","Error",0.671647749084516,0.00584807374707888
"41","2","0.02","ARI",0.529297620858308,0.0132681805183358
"42","2","0.02","NMI",0.494296948646187,0.015068235646292
