"","k","Phi","Measure","Mean","S.d."
"1","2","0","ARI",0.333390357072932,0.0737872045243442
"2","2","0","NMI",0.315977381270589,0.0569562540906263
"3","2","0","Sil",0.120482802242122,0.0301966315612416
"4","2","0","Error",0.827985487965288,0.0194989070907722
"5","2","0.002","ARI",0.335830565601373,0.0712244105452927
"6","2","0.002","NMI",0.31903101174728,0.0556781993809103
"7","2","0.002","Sil",0.12117437711841,0.0289483685639516
"8","2","0.002","Error",0.826767950286834,0.0177409538223611
"9","2","0.004","ARI",0.332506525989637,0.0708522167205741
"10","2","0.004","NMI",0.315381639477301,0.05524513666351
"11","2","0.004","Sil",0.1195214462085,0.0294848920368535
"12","2","0.004","Error",0.826821931583711,0.0210260574370316
"13","2","0.006","ARI",0.335584439125669,0.0708603295046999
"14","2","0.006","NMI",0.318224200630183,0.0539379161962002
"15","2","0.006","Sil",0.121145550859404,0.0286341295534012
"16","2","0.006","Error",0.827698244321148,0.0206514149333048
"17","2","0.008","ARI",0.331238283128177,0.0716763581151914
"18","2","0.008","NMI",0.315750654281733,0.0520676440434559
"19","2","0.008","Sil",0.118799132242491,0.0299941272779892
"20","2","0.008","Error",0.827836387113997,0.0250900613633915
"21","2","0.01","ARI",0.338905580549826,0.0709551519179958
"22","2","0.01","NMI",0.320853483370521,0.0527778836297855
"23","2","0.01","Sil",0.121319257395243,0.029267244970337
"24","2","0.01","Error",0.830024006455785,0.0291980664618792
"25","2","0.012","ARI",0.3366394925854,0.075597076435502
"26","2","0.012","NMI",0.320452890338197,0.0586014981932967
"27","2","0.012","Sil",0.1219449777495,0.0321951956616887
"28","2","0.012","Error",0.828824052841174,0.0216779666520206
"29","2","0.014","ARI",0.333638547966825,0.0760729092945947
"30","2","0.014","NMI",0.317185601757565,0.0579590611365168
"31","2","0.014","Sil",0.120314108794986,0.0306584430603888
"32","2","0.014","Error",0.826997777458145,0.017807295102459
"33","2","0.016","ARI",0.332715320681154,0.0659768440662208
"34","2","0.016","NMI",0.316578116896002,0.0492708959686273
"35","2","0.016","Sil",0.118692097612901,0.0279521996337596
"36","2","0.016","Error",0.830161277872257,0.0278410153970559
"37","2","0.018","ARI",0.331215551849089,0.0801172150873168
"38","2","0.018","NMI",0.313593713537224,0.0640108648109547
"39","2","0.018","Sil",0.12005042339135,0.0313299595225336
"40","2","0.018","Error",0.829802867687787,0.0313205171951288
"41","2","0.02","ARI",0.335804893263795,0.0762689554179986
"42","2","0.02","NMI",0.316157196821983,0.0674529195688853
"43","2","0.02","Sil",0.121360383103309,0.0300539491831847
"44","2","0.02","Error",0.831355153375896,0.0319476049480865
"45","2","0.03","ARI",0.328268422892721,0.075386704737876
