"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",1,0
"2","2","Overall","Rel",0.997115220978278,0.00340638160388214
"3","2","Overall","Rec",0.997115220978278,0.00340638160388214
"4","2","Overall","F_score",0.997115220978278,0.00340638160388214
"5","2","Overall","BiS",0.458208602281771,0.0147495866319827
"6","3","Overall","CSR",0.996388888888889,0.0191979025109871
"7","3","Overall","Rel",0.991592042207113,0.0234441570190408
"8","3","Overall","Rec",0.995376679706949,0.00662164336591001
"9","3","Overall","F_score",0.993290282349305,0.0152198459691514
"10","3","Overall","BiS",0.460631473544711,0.0127087679803559
"11","4","Overall","CSR",0.991,0.0231968799215592
"12","4","Overall","Rel",0.98762121134796,0.0495727465416561
"13","4","Overall","Rec",0.98762121134796,0.0495727465416561
"14","4","Overall","F_score",0.98762121134796,0.0495727465416561
"15","4","Overall","BiS",0.464236818840548,0.00802932712187325
