"","Method","Choice","Measure","Mean","S.d."
"1","2","Overall","CSR",0.860185185185185,0.0603629852333579
"2","2","Overall","Rel",0.374973280812473,0.0893854474438134
"3","2","Overall","Rec",0.408072239816123,0.112790073224614
"4","2","Overall","F_score",0.387464972679384,0.0949728914780989
"5","2","Overall","BiS",0.366809608008401,0.0385707576720609
"6","3","Overall","CSR",1,0
"7","3","Overall","Rel",0.995158901335924,0.00385601051778693
"8","3","Overall","Rec",0.995158901335924,0.00385601051778693
"9","3","Overall","F_score",0.995158901335924,0.00385601051778693
"10","3","Overall","BiS",0.460113530788772,0.0102163061303746
"11","4","Overall","CSR",0.920813852813853,0.0598994176964627
"12","4","Overall","Rel",0.87829903584715,0.090720285295622
"13","4","Overall","Rec",0.919210380508537,0.0756749335122692
"14","4","Overall","F_score",0.893591442965423,0.0787343792968606
"15","4","Overall","BiS",0.24816479429074,0.0398514951030062
